"ok","sim","não precisa",45,"Exposta",,,"Candomblé","https://lh3.googleusercontent.com/o76vtUs5ktLDJn2VIlcc35o7Ngx_se8Sv5hkylcm7fQ=w1192-h785-no","Evandro Teixeira","Coleção do artista","Passagem de ano no Jardim de Alá  ","Praia de Ipanema, Rio de Janeiro, 1992",,"Fotografia / processo gelatina ","30,5 x 40,7 cm (medida da foto existente)",1000,,,,"OK finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,138,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-xSRIatqq2Ro/VcjFTLZIz_I/AAAAAAAANfo/3T-_CQd7idU/w945-h709-no/IMG_9410.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Menino olhando a romaria, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005278","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente",,,139,"saiu da exposição",,,"Canudos ","https://lh3.googleusercontent.com/7tDjCAalsxERc7UBXokV0TRM_KV7VBwQjiI8a6ibVY0=w1047-h785-no","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Paisagem com cactus e cavalos, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm ",1500,"MAR.2015.005316","Col. MAR - Fundo Evandro Teixeira",,"s/laudo - saiu da exposição","SAIU DA EXPOSIÇÃO",,,,,,,,,,,,,,
"ok",,,164,"Exposta",4010020,,"Carnaval","https://lh3.googleusercontent.com/-i5cDWjZALds/VfcurTm0h_I/AAAAAAAACHw/BwHXmApJ0lA/w506-h783/baianas.jpg","Evandro Teixeira","Coleção do artista","Baianas do carnaval","Cinelândia, Rio de Janeiro, déc. 1970",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,51,"Exposta","DSCN2119",,"Carnaval  ","https://lh3.googleusercontent.com/ZsaMsda5esfLSClgQ9guekWG230F5MoBkoAXGr_X9pI=w216-h309-no","Evandro Teixeira","Coleção do artista","Carnaval de Basel","Basel, Suíça, 2014",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,52,"Exposta",73630022,,"Carnaval  ","https://lh3.googleusercontent.com/yzYZ8dV6MdyV-J52VNx1_6ba_eOF0PqDDc37ZyN37h4=w841-h785-no","Evandro Teixeira","Coleção do artista","Os Clóvis na Cinelândia","Cinelândia, Rio de Janeiro, 2010",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,53,"Exposta","CLOVIS4",,"Carnaval  ","https://lh3.googleusercontent.com/cGP7pWhI28VqzU75HumQHwIvGn5ieGec5KC1i4q8OAk=w516-h339-no","Evandro Teixeira","Coleção do artista","Clóvis na Pedra de Guaratiba","Pedra de Guaratiba, Rio de Janeiro, 1995",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,54,"Exposta",,,"Carnaval  ","https://lh3.googleusercontent.com/eFyYAcPPd3dN3yz0ZPMCtdkmKs542Hgo9gNB6197iR8=w518-h755-no","Evandro Teixeira","Coleção do artista","Carnaval","Rio de Janeiro, 1976",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,55,"Exposta",,,"Carnaval  ","https://lh3.googleusercontent.com/YRVfURxpd0RgxPOsTANEalBnhqkgHRKvaqDBRxWMUrM=w1185-h785-no","Evandro Teixeira","Coleção do artista","Os Clóvis: carnaval","Rio de Janeiro, 1980",,"Inkjet print. Pigmento mineral sobre papel","40 x 60 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,56,"Exposta","evandro_carnaval1",,"Carnaval  ","https://lh3.googleusercontent.com/zivUyeIMbgGI2hZNQHx71Hql9m_vnnamRuvPm65r8wU=w476-h305-no","Evandro Teixeira","Coleção do artista","Sambista na passarela do samba","Rio de Janeiro, 1979",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,57,"Exposta","13 JB PB 87x61,2",,"Carnaval  ","https://lh3.googleusercontent.com/26Hh3MXDqZHXnqLG4fWUXVMZGF9oztvE28rnA6X0hVs=w500-h785-no","Evandro Teixeira","Coleção do artista","Baiana na festa do Bonfim","Salvador, Bahia, 1993",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,58,"Exposta","16NEGATIVO01",,"Carnaval  ","https://lh3.googleusercontent.com/XwULCfh3yNuT5LTdy7KLilEjwLIk8PEBxrLHW2tbYsE=w1243-h785-no","Evandro Teixeira","Coleção do artista","Sambista no carnaval na Bahia","Salvador, Bahia, 1973",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente",,,59,"Exposta","Foto001",,"Carnaval  ","https://lh3.googleusercontent.com/9mA12gguXy2CotqidhWhTsudd7DfLoIDzaiJU6o0e1M=w1246-h785-no","Evandro Teixeira","Coleção do artista","Mestre Marçal da Mocidade Independente de Padre Miguel ","Passarela do Samba, Rio de Janeiro, 1984",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,60,"Exposta","P1030807",,"Carnaval  ","https://lh3.googleusercontent.com/Rtq8MrQa3sbBFSBwvAaZlHP6Duz8_a1fxiM4X7g9RVA=w1243-h785-no","Evandro Teixeira","Coleção do artista","Sambista no carnaval carioca","Cinelândia, Rio de Janeiro, 2012",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok","sim",,61,"Exposta",,,"Carnaval  ","https://lh3.googleusercontent.com/rrlKG3f1lpgrtihSJi8JdlnnIYFdJCbG0BtMSWkPhrE=w236-h299-no","Evandro Teixeira","Coleção do artista","A volta da baiana do samba nos trilhos da Central do Brasil ","Rio de Janeiro, 1979",,"Fotografia / processo gelatina ","
A foto existente tem 49 x 34 cm ",1000,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,62,"Exposta","Scan-110603-0005a",,"Carnaval  ","https://lh3.googleusercontent.com/Wda_FkNoPSXeqGvrbN-PWVoNFwhdh2f_4hiQ5Jl9wEw=w521-h785-no","Evandro Teixeira","Coleção do artista","Pierrot na escadaria do Theatro Municipal","Rio de Janeiro, 1973",,"Inkjet print. Pigmento mineral sobre papel","60 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
,,,197,"Exposta",,,"Carnaval  ","https://lh3.googleusercontent.com/cnV7fL0y1PRn6UwNMSETxwiONCxqT9p4DoG42EJGL54myWMXZIpSOWthYwrkjOHqxjor7RbkNu_xkXKsCgpOd9q4ohqKIhEocMr6JSIKzYW9E2sn38jCTsUDSIywGY3M2o_BLcQOWCtCksu6PshgZs8qDz8ebgryRRhR9nmxNTIoWBTa62rL6m0GozCmo7UIFldJwSZW4rxhXJzO69s0TgR8re0a9V0cnDNj9p3zMgrhevDEKFxXMEaJ3oU4SE7v0_kjHbGrdHbin3OTRAmATFFYYVl1p6b7L3ez1Gn3uQKrUNlaghHRv6dF9JR47O6p0CumY6gsfhjhRQRA3eON_KJjeIhmdM9lFjIYoKl-8H6rdDt5qWusMnoa7_F9R23L5kvK58XEzDiKqHTttFFW28R_Z1Ahv0NNETpL-D3LVcS_dz-n9wvvX0jwVrsCvLJdyChrnzmJ_E6tEDU5NCfzWk6CK6QeA4P_rVE_g9-GbHOXN0aHfsZwv31ySA7CsWAQJTbRJLJ2OTZdeXpWVO7G_vNImAYd6pn8seVnddIcxmtI=w442-h295-no","Evandro Teixeira","Coleção do artista","O fotógrafo homenageado em desfile da Escola de Samba Unidos da Tijuca","Rio de Janeiro, 2007",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,48,"Exposta","IMG_9606",,"Carnaval rural","https://lh3.googleusercontent.com/TyN6-n_2Mc2_FLnAPHZp0YF9q2Iy7eti-VszC2qUxMg=w514-h343-no","Evandro Teixeira","Coleção do artista","Maracatu rural","Goiana, Pernambuco, 2013",,"Inkjet print. Pigmento mineral sobre papel","40 x 60 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,50,"Exposta","cd287_089",,"Carnaval rural","https://lh3.googleusercontent.com/-kFPi0lPrV4VSzXZU5o3R2_bRSxlDEDrqRr-n8OWUo4=w503-h335-no","Evandro Teixeira","Coleção do artista","Maracatu rural","Goiana, Pernambuco, 2014",,"Inkjet print. Pigmento mineral sobre papel","40 x 60 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,160,"Exposta","IMG_1971",,"Carnaval rural","https://lh3.googleusercontent.com/-cJtSVZaVqSQ/VfcwU9KMeKI/AAAAAAAACKw/ehiPOH8cjhg/w506-h559/festa%2Brural.jpg","Evandro Teixeira","Coleção do artista","Festa do divino","São Luíz do Paraitinga, São Paulo, 2013",,"Inkjet print. Pigmento mineral sobre papel","60 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,84,"Exposta","Queda Allende",,"Chile","https://lh3.googleusercontent.com/fu6KXA_9XFCsFig2ceeUmSJ9R2wCo2FmRvYYgdvyhaI=w1174-h779-no","Evandro Teixeira","Coleção do artista","Golpe militar do Chile, presos no porão do Estádio nacional","Santiago do Chile, 1973",,"Inkjet print. Pigmento mineral sobre papel","40 x 60 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,85,"Exposta","EVANDRO315",,"Chile","https://lh3.googleusercontent.com/iiljc8QFNiPsYmD4Ht8VaxRoNWZBzZmPoCgvsHlCs7Q=w411-h321-no","Evandro Teixeira","Coleção do artista","Presos do Estádio nacional, golpe militar no Chile","Santiago do Chile, 1973",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,86,"Exposta","EVANDRO312",,"Chile","https://lh3.googleusercontent.com/QQ0hbp6sr8_QyUYh1Zuacn-fIkT8Q4DXAkea02fB-h4=w1180-h785-no","Evandro Teixeira","Coleção do artista","Presos do Estádio nacional, golpe militar no Chile","Santiago do Chile, 1973",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,88,"Exposta",15,,"Ditadura","https://lh3.googleusercontent.com/NLwvfWmuHGi232JCNprgfiPuMmaMJgHzJ2Sl92ixPhE=w513-h343-no","Evandro Teixeira","Coleção do artista","Estudantes presos políticos no estádio do Botafogo","Rio de Janeiro, 1968",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok","sim",,89,"Exposta",,,"Ditadura","https://lh3.googleusercontent.com/-CI3rx9fW4Hs/VcujvjjKPnI/AAAAAAAAOBU/JaidsQaU_Uw/w1060-h709-no/Cavalaria%2B06.jpg","Evandro Teixeira","Coleção do artista","Da série Movimento Estudantil, cavalaria na Candelária","Rio de Janeiro, 1968",,"Fotografia / processo gelatina ","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok","sim",,90,"Exposta",,,"Ditadura","https://lh6.googleusercontent.com/-Az8JhQGpS74/VcoTGSxI9FI/AAAAAAAAN8E/BIFGhc8Q5fQ/w940-h621-no/CCI11082015_0002.jpg","Evandro Teixeira","Coleção do artista","Da série Movimento Estudantil","Rio de Janeiro, 1968",,"Fotografia / processo gelatina ","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok","sim",,92,"Exposta",,,"Ditadura","https://lh5.googleusercontent.com/-pX1lZaQylJI/Vci6kQ0KYdI/AAAAAAAANTs/z2d9PFAucEM/w1190-h709-no/262549002.jpg","Evandro Teixeira","Coleção do artista","Da série Movimento Estudantil, estudante perseguido e morto pela polícia na Cinelândia","Rio de Janeiro, 1968",,"Fotografia / processo gelatina ","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,"sim",93,"Exposta",".02",,"Ditadura","https://lh3.googleusercontent.com/-_lNOg7ktMjo/Vci6dgeEqvI/AAAAAAAANS4/oq06c62_hG8/w998-h665-no/01a.jpg","Evandro Teixeira","Coleção do artista","Golpe Militar no Brasil/ Tomada do Forte de Copacabana","Rio de Janeiro, 1964",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,94,"Exposta","!cid_ii_14c49624f03f9676",,"Ditadura","https://lh3.googleusercontent.com/-HvV5eB0X7BM/VcuyV4V9eNI/AAAAAAAAOFo/e2QqL5Qnq3c/w444-h665-no/CCI12082015_0024.jpg","Evandro Teixeira","Coleção do artista","Líder estudantil Vladimir Palmeira, presidente da União Metropolitana dos Estudantes (UME)","Rio de Janeiro, 1968",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok","sim",,95,"Exposta",,,"Ditadura","https://lh5.googleusercontent.com/E9HPcQxKqbNflMeXxZgJeY9yVPvI19u9oZqOW6Dxqh0=w971-h665-no","Evandro Teixeira","Coleção do artista","Veículo do Exército em chamas durante confronto com manifestantes","Rio de Janeiro, 1968",,"Fotografia / processo gelatina ","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,97,"Exposta",48370024,,"Ditadura","https://lh3.googleusercontent.com/-JX0KkA0Juec/Vcuxx3dHFAI/AAAAAAAAOGo/8_tdZFGOK3k/w823-h585-no/CCI12082015_0011.jpg","Evandro Teixeira","Coleção do artista","Passeata dos Cem Mil ","Rio de Janeiro, 1968",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,"sim",98,"Exposta","07 cópia",,"Ditadura","https://lh3.googleusercontent.com/DiavmzzWyMe2p91GqSgiT-1xp7ayBO15o-1L182PmUo=w454-h299-no","Evandro Teixeira","Coleção do artista","Repressão com cavalaria na Igreja da Candelária - Missa do estudante Edson Luis","Rio de Janeiro, 1968",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok","sim",,99,"Exposta",,,"Ditadura","https://lh3.googleusercontent.com/Wlgpi1Bdx9SKnuQ9pye-dwsbVANanE8mGzYQScoL6Gs=w218-h331-no","Evandro Teixeira","Coleção do artista","Baionetas e libélulas","Rio de Janeiro, 1966",,"Fotografia / processo gelatina ","42,1 x 29,9 cm",1000,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok","sim",,100,"Exposta",,,"Ditadura","https://lh3.googleusercontent.com/wYzi_vGNMM8_PouCBtVyDFItzJu_PjzE1rjdbUHu6IM=w242-h184-no","Evandro Teixeira","Coleção do artista","Queda do Motociclista da FAB na visita da Rainha Elizabeth ao Rio","Rio de Janeiro, 1968",,"Fotografia / processo gelatina ","30 x 40 cm 
a foto existente já está nesse tamanho",1000,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,159,"Exposta","68_244285B",,"Ditadura","https://lh3.googleusercontent.com/-22YAZ_dm9SE/VfcwGYAHBkI/AAAAAAAACKI/1gX0o5eY5Io/w506-h335/ditadura.jpg","Evandro Teixeira","Coleção do artista","Atores protestam contra a censura","Rio de Janeiro, 1968",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,"sim",24,"Exposta",56,,"Drummond","https://lh3.googleusercontent.com/zgOrmM9yA9a53OhoOm__DqMnMFe19yS9RfXhg0eqTx0=w1177-h785-no","Evandro Teixeira","Coleção do artista","O poeta em casa, Carlos Drummond de Andrade","Rio de Janeiro, 1986",,"Inkjet print. Pigmento mineral sobre papel","10 x 15 cm",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,41,"Exposta","IMG_1400",,"Futebol ","https://lh3.googleusercontent.com/7oF245Ya7glO2_cegubnQWC-Fzm8UQ5rTM9eZa83yJg=w1396-h785-no","Evandro Teixeira","Coleção do artista","Meninos jogando pelada","Milagre, Bahia, 2009",,"Inkjet print. Pigmento mineral sobre papel","40 x 60 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,42,"Exposta","IMG_9836",,"Futebol ","https://lh3.googleusercontent.com/mpvOZHf6bw_RSIN1RM5hhGGxXoAQs_EVN1zDxeJJuFw=w901-h785-no","Evandro Teixeira","Coleção do artista","Pelada na lama, da Série ""Futebol, a paixão do Brasil""","Salvador, Bahia, 2009",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,43,"Exposta","IMG_9744",,"Futebol ","https://lh3.googleusercontent.com/mgeiLNLg97KiheDB4Sz6BdJKIMvIhNCUym11G9TEwDI=w1600-h763-no","Evandro Teixeira","Coleção do artista","Monges no terraço do Edifício Copan, da Série ""Futebol, a paixão do Brasil""","São Paulo, 2009",,"Inkjet print. Pigmento mineral sobre papel","40 x 60 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,44,"Exposta","Evandro002",,"Futebol ","https://lh3.googleusercontent.com/xMEeiOqqrBmKJ3ZHT7idWL8eHuxWn0p1Uj3-PAp0P-w=w471-h343-no","Evandro Teixeira","Coleção do artista","Pelada na favela da Maré, da Série ""Futebol, a paixão do Brasil""","Rio de Janeiro, 1975",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,162,"Exposta","IMG_4250",,"Futebol ","https://lh3.googleusercontent.com/-8AlCkmrvJfI/VfcszaZrJmI/AAAAAAAACFQ/J8E3JtZW174/w506-h338/futebol.jpg","Evandro Teixeira","Coleção do artista","Série ""Futebol, a paixão do Brasil""","Juazeiro da Bahia, 2010",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
,,,168,"Exposta",,,"Futebol ",,"Evandro Teixeira","Coleção do artista","Pataxós jogando pelada","Xingu, 2012",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,63,"Exposta","EVANDRO BAILARINASa",,"Grupos organizados à distância ","https://lh3.googleusercontent.com/OG_nXqz6v-q7Iq9_2Sui3VVMTJrnlZuH7zYEGpDeMYk=w414-h290-no","Evandro Teixeira","Coleção do artista","Balé na favela da Catacumba","Rio de Janeiro, 1996",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,64,"Exposta","LEME4",,"Grupos organizados à distância ","https://lh3.googleusercontent.com/B3CYhQFztU813kFZAGPjYJ6w7UqHs8WXr80ukmu_BLo=w1312-h785-no","Evandro Teixeira","Coleção do artista","O time alongando","Rio de Janeiro, 2000",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,65,"Exposta","LEME5",,"Grupos organizados à distância ","https://lh3.googleusercontent.com/X7giaCl8juQhx7RtIb2IEtMQvk-wGmntjuPZQE4vo2I=w1333-h785-no","Evandro Teixeira","Coleção do artista","O time alongando","Rio de Janeiro, 2000",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,66,"Exposta",,,"Grupos organizados à distância ","https://lh3.googleusercontent.com/PXtnfm-FFcTMRryltJua_QXBnpR71E0jvZdRfnez4xQ=w1265-h786-no","Evandro Teixeira","Coleção do artista","Quarup","Xingu, 2012",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,67,"Exposta",,,"Índios","https://lh3.googleusercontent.com/agnvACpuJm2cEW3ZoAxjebQyshB1e3M5I8-2xMgX2AI=w1178-h785-no","Evandro Teixeira","Coleção do artista","Quarup","Xingu, 2012",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,68,"Exposta","IMG_4172",,"Índios","https://lh3.googleusercontent.com/kMbKnhgqVYpqXtceY_79HFQ0h2hoT7Rot_PPtSA-A50=w1348-h785-no","Evandro Teixeira","Coleção do artista","Dança indígena na Cúpula dos Povos","Rio de Janeiro, 2012",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,69,"Exposta",,,"Índios","https://lh3.googleusercontent.com/-SOA7U_x3rC5VvHOwrQipYIM1bPQcnquCGrc3Ll-rbg=w1319-h785-no","Evandro Teixeira","Coleção do artista","Quarup","Xingu, 2012",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,70,"Exposta","IMG_5844",,"Índios","https://lh3.googleusercontent.com/g2yb2GZ7NS30siaxH2IYS4AYym8qBFRbenK6IynGrLg=w1363-h785-no","Evandro Teixeira","Coleção do artista","Quarup","Xingu, 2012",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
