"ok","sim","não precisa",45,"Exposta",,,"Candomblé","https://lh3.googleusercontent.com/o76vtUs5ktLDJn2VIlcc35o7Ngx_se8Sv5hkylcm7fQ=w1192-h785-no","Evandro Teixeira","Coleção do artista","Passagem de ano no Jardim de Alá  ","Praia de Ipanema, Rio de Janeiro, 1992",,"Fotografia / processo gelatina ","30,5 x 40,7 cm (medida da foto existente)",1000,,,,"OK finalizado","Em exposição",,,,,,,,,,,,,,
,,,175,,,,,"https://lh3.googleusercontent.com/MVteCkMfcfkzr475cnqMErsk81moALFxqmRgBGdg2SIdSvIlx0Kaln6_08vbSlqeq2KLYGgywydlN6Ty9t-z2srAqRMWI5008ezdDdeB0ngQu00jG4x5s8G0M38iyoNP23mlZKrqLx59XOVuEFbR6U6BTU-ePEyZLLh7CH2-SFFPo7dw8byIvXP4NMgkPfqEw0ohdKVxV81bFR0eVKy1FTCQ25JgVi911gPK9IEB13lbiPG2NDEZeCtzXUNPg8vPRcqtasaJz2qGwoHBxqWc7aE7k3w4XxY9UJ3MMN4AZSZjVM-jsTP5dJhCPVufRDUqKAbP0Nqf2JALe7zdk7hvs2zKnVnJrwN7lDrh5Lg_et4ESGW03nl2RO-AoJMpN7legpk0VmbieQb26FyaVs3M6ALtTcnDa7rVOCdwHy86UiNkZFIg8yqdBlGgqTRUlR9-oIWwimR9qf3J5Qw2hXyS4yvol22lskowFnU5VDEM4PHx7_rYe3qXXNP6ILPij-3L5u0BV7J_X5MRWAbFOuXWKzW9JVXRLrgGs_9W1XfQKfis=w724-h659-no"")","Antonio Callado","Coleção Ruy Souza Silva","Assunção de Salviano, primeira edição",1954,,"Livro","22,5 x 14,5 cm",200,,,,,"Em exposição",,,,,,,,,,,,,,
,,,176,,,,,,"Euclides da Cunha","Coleção Ruy Souza Silva","Os Sertões, segunda edição",1903,,"Livro","24,5 x 18 cm",1000,,,,,,,,,,,,,,,,,,,
,,,177,,,,,"https://lh3.googleusercontent.com/yA7GJXcG_2wdLGIsbSUh6oN3pfXJ2fvd2z2896Hw-QKaGsOI9KHCLuFTsgCZtZITv2Mijp2Nkx3t-3n7SIsGHFP3u-dVLXjilomaXZkv_K0HbobaQgHidLIGecGI5avW8Jjd4HgGP2IwGqmxfxi7wXlHWk6YA8TEoGTTsLNnHZL0POhWi30UscfLO9RMmAGwDxeuSr_FBrLeIMtG5-CvTHw-sQEqDoxogWKPZO68KhpZ8roHGTH__ElA6Xy5rcaWEcPFcK5Bl0euVUuQhXKjGKZJMQuR8QMpvRSIZ8pWqkJEyn4xeJ9G9ANQcgX9pyUUIWWCVnq08Mivn2qUMyw9iA_BhvGV7j-YtyUpbw7s22eb3h2a1eIOcp-fXdB-hkdLpXlFk02s7asWw6GXswsZJx__iC_uCqBBYXN5TuOq6yccbPY1xbUWBWHLUWPRBBNmIj-i5nmfOLyYE4-N2lUv008kqbkq2uMbTtRwusUstHEEZ-ll6sTfiQvzB88neGidSK6DJaxIkYbW7oTkObJkqJVYz5TOW3dyTHMk_TceLjm_=w478-h785-no"")","Euclides da Cunha","Coleção Ruy Souza Silva","Los Sertones",1942,,"Livro","20 x 15 cm",300,,,,,"Em exposição",,,,,,,,,,,,,,
,,,178,,,,,"https://lh3.googleusercontent.com/MVteCkMfcfkzr475cnqMErsk81moALFxqmRgBGdg2SIdSvIlx0Kaln6_08vbSlqeq2KLYGgywydlN6Ty9t-z2srAqRMWI5008ezdDdeB0ngQu00jG4x5s8G0M38iyoNP23mlZKrqLx59XOVuEFbR6U6BTU-ePEyZLLh7CH2-SFFPo7dw8byIvXP4NMgkPfqEw0ohdKVxV81bFR0eVKy1FTCQ25JgVi911gPK9IEB13lbiPG2NDEZeCtzXUNPg8vPRcqtasaJz2qGwoHBxqWc7aE7k3w4XxY9UJ3MMN4AZSZjVM-jsTP5dJhCPVufRDUqKAbP0Nqf2JALe7zdk7hvs2zKnVnJrwN7lDrh5Lg_et4ESGW03nl2RO-AoJMpN7legpk0VmbieQb26FyaVs3M6ALtTcnDa7rVOCdwHy86UiNkZFIg8yqdBlGgqTRUlR9-oIWwimR9qf3J5Qw2hXyS4yvol22lskowFnU5VDEM4PHx7_rYe3qXXNP6ILPij-3L5u0BV7J_X5MRWAbFOuXWKzW9JVXRLrgGs_9W1XfQKfis=w724-h659-no"")","Euclides da Cunha","Coleção Ruy Souza Silva","Rebellion on the Backlands",1944,,"Livro","23,5 x 16 cm",300,,,,,"Em exposição",,,,,,,,,,,,,,
,,,179,,,,,"sem imagem ","Graciliano Ramos","Coleção Ruy Souza Silva","Vidas Secas, facsimile",1938,,"Livro","18,5 x 12,5 cm",100,,,,,"Em exposição",,,,,,,,,,,,,,
,,,180,,,,,"https://lh3.googleusercontent.com/5501tmYEPof7adZtq7knDs7kVpJmgNcNMIuhDXUtSs4iWDJjPTwiVRdBeDXtuD7yPSorTWp6IFNHBOg8FTL-4UpQyNdwSILRACswo2b5Z1CPdTNvRg34a1iUv0ugE6udzRfDfwfpOSglRIPAy-gM_xW6FepfgVZEP7ET8p1CxB0gJ2CyfBi5eetKeJeSAE2Fsy00cm6nSdN7R3RHJXC10LtFtR3QV8T2NthJY0tg3zswvOU_afgMXq2N5tv85ZQlpagOFPvvlcrR8TBG4VFodaqVgbsVKeXiAJq7MHkxtPeJ0KsPrJvRrP5v4TF9OVZxDnrZ43Ud_ZET7ZPBQDQ2UWUQFVjQOINTBd3PKcQl94GKcfyG41uS9fzkj_FqWUtEPafBmUfp-BrKAzABc3fMBbyOdoY-J_SGjVQ0FesPHIrdcCgaxrOops7LnXiXhJnkxcv5VUHH6jTXfMuSKAONMmtBAsiCPdF-0WtbKlpH-R7MpL80DcbvulVvmAFmuoN766y63tETZFbp6ZQoYc_3PTrz-KlLLvo-hbKiSjHPSzXZ=w318-h448-no"")","Diversos autores","Coleção do artista","Futebol - A paixão do Brasil",2009,,"Livro",,300,,,,,"Em exposição",,,,,,,,,,,,,,
,,,181,,,,,,"Evandro Teixeira e Nei Leandro de Castro","Coleção do artista","O livro das águas",2001,,"Livro",,,,,,,,,,,,,,,,,,,,,
,,,182,,,,,"https://lh3.googleusercontent.com/5h8cW88K3M2WqX6UFkvdOPr8zzFKHjkcMByraIDNJ3sihO0cbDrQ-87TIY9mdnPJhubRhnRW5sv23pVgwXwvmfr15UEPf5XsmqkQKK57GIwQmdDRNM_TbEoYjFs_qqedrM27ZvYltwT_M8cgCNqarI-Qq3VhGdfuUkYT_LKXj6ePKPXEMO6UXxbbT2VhrRHKp4kClndEsDZ490SF86LF7gOEcBk-3HlJc2HF9C6X1VcNIXQQh_uv-YBqcymY6p5Ftl66eG8C3zN-SzeajPh1VP53eJm_rpvzgXwvopfnbXfarxwxNUazfU57BWPTHjpbahNK6gROEGmNnL_70C5tuwbTKOcg2XFu2uOWoz9buhaSxrQlczUWvEmu6HlRHVZdSt6kCYU0-D68rPD4CNDNHTQ-MwUAuv3HL8UPQMKdDelVPfwXCsJlk5X9DX4i678IAwQJqS1JqPPJMI4BVTVGBcdmk6rN1qEGKG4NkAluCavhTHnjSSPOwozw2TKcYGdWUS1X4D09aWlGn3mzus-kdZiw0JiYxkl_1CI5kJCVviEn=w300-h314-no"")","Diversos autores","Coleção do artista","Torcedor",2008,,"Livro",,300,,,,,"Em exposição",,,,,,,,,,,,,,
,,,183,,,,,,"Diversos autores","Coleção do artista","Fotografias JB",2000,,"Livro",,,,,,,,,,,,,,,,,,,,,
,,,184,,,,,"https://lh3.googleusercontent.com/oyxQKZSvwoITD-bmqrh2wrZ2ty9MyEboyZJ1kq6Xp6w7Qr6I7URwS2EqmLx73Yb4hhocpTMnSOap3iYNeLReCfLex8BwXZE07Hb6ZocSDg2J3QN0yMXjbYQBuBfO_S0uDCxpqtlueESCwUIpg2ZLx_jTyV2IIoRQf4gMCjfbEy_mStxdrfT1Ida9LTQoZ6PM2rq3KzUMspVlQofVyzIF8WOUN3T2G4zxtVkeHUcXIw0qYSX1_Db-wFnqX1-0iC9d15Jc_buVlMIWqW_y2w58B2ZjZir1wv0VRD5S0YT5vVcxHo-GMDvg6eGvtOcjD0LDvOEpzU0R8u_O_C5xThP-9RvU6I4pPMwwWl15T-YOxsYM9Zy5rmKlqvBBpq6KGKOV5Ve4fzEpbWs_V80AZB2cqkSd0tjRfwhwzswbVzQE86mMAt36zvvtTXVEWYNUsi6DkzdLtWjhYUGJqYp-rT8pvqmB83OWWjMLVQ7th3nkU0g3zr2-VP9kzwOXydgeZkxnqaifkB9D5cV6_CCjP5-bupye6deeC_qAfSZPUP9gKMAS=w554-h478-no","Evandro Teixeira","Coleção do artista","Evandro Teixeira: fotojornalismo",1988,,"Livro",,300,,,,,"Em exposição",,,,,,,,,,,,,,
,,,185,,,,,,"Evandro Teixeira","Coleção do artista","Caminhos de transformação, 35 anos de fotografias de Evandro Teixeira",2010,,"Livro",,,,,,,,,,,,,,,,,,,,,
,,,186,,,,,"https://lh3.googleusercontent.com/ZkLKKTjoMPxGRzeZ2m6jtG_bliobkPXPpkSmPW5dFqsiY1V4geEdKGc0uYKdNxMv-3cfPOdzZIImo6w9tQTWYP7UoY8IpIPtMFTdEOZ06SgpOYhV46yK_P8JkGraNdlyEoJPvU47Blqq-BSjaLMX6Z4Kfq8-zkxZUSIeKEtmVUE69bfPLuLEsbCn6cZ4WUmMo-P09TsfVPzYzYaTOwAFt8J2fje6u8vGBol22xeDj0PIvwxnf9kIAF4nhGD15OuHxJ-j2bOGuqBPhgnwoYcM6l66DhTdIfAd3YGgsYoBOvPmqwQvJFFFXrnOlGgOg4X7voZnvQ1HUHGD--WnmGr4kVlZxclI1rNIqxRISrKOtMB9IV3lOdvKeKx-HD3VSjX0Uli3B2jcVLPF4s-47HAm3l-h2nTSuIMI71A9WxZDqqIjBjtTO3oGHtQIkUn4BHj4ptMIzCSMxV4ZQmyY897TM8Nvq_E10n6z0RFEcRQ_I2RrC_EWknUBhIzc5FXAv6WuUkPKPIqWXYLEt095lqoFIQzcqQRPEAYAr6QCBSi9LdR-=w200-h256-no"")","Oswaldo Munteal e Larissa Grandi","Coleção do artista","A Imprensa na História do Brasil - Fotojornalismo no Século XX",2005,,"Livro",,300,,,,,"Em exposição",,,,,,,,,,,,,,
,,,187,,,,,"sem imagem ",,"Coleção do artista","A fotografia de Evandro Teixeira",2000,,"Catálogo de exposição",,300,,,,,"Em exposição",,,,,,,,,,,,,,
,,,188,,,,,"https://lh3.googleusercontent.com/OMR2Yhk1Js_eWYQH_C05-tvc9OqAZP5Xmgjme2978EfaLk0SjmLJmrKEMf1LmwByKUFVZZqO8z2td4Vz24CQFMBIT8kjzXk7sxVdghaDpQQguOvNvKDGggRFl9VVL-u76t-ZLzdpdu3YHM34jkgso9auHXdrS5rZj1HooY7ZW6eAn2vKfJOAs8S_a7z3QQv1SfMADxoMZSxXp_nUtPIpF7KON05toZXINW4R6h-L1u9MXRiVYslKv6z1vK9H0PU_QGopATaq7rF12PL-gGCXUTwNWoCBmLFk8JJzQ2CsUW4001xHNKxurE2HZPT8VHUG1MOevnW0ZlC_wPxhMYNx0rYr0EBRj5BfsXcPXm2ToW0aeo4Yn87Jy8Z1oVZRlhEGt4F-SirRGyXXidig7wic_OhJCs85HLzYCmc2f5D-OEdpO43Uu8vq_SahypqfTBItWkqd8cnijiAbu7nZVgus6i92xFpbjbSa_wbkhMBBC13NCpvlzwtv9ZyJCZrl6eWFSBzEMzRs3eH4R7CQtPY1U-4buJvmvnn3OY963WVW9mJr=w200-h278-no","Evandro Teixeira","Coleção do artista","Vou Viver: Tributo ao Poeta Pablo Neruda",2004,,"Livro",,300,,,,,"Em exposição",,,,,,,,,,,,,,
,,,189,,,,,,"Michèle Auer","Coleção do artista","Encyclopédie internationale des photographes de 1839 à nos jours",1985,,"Livro",,,,,,,,,,,,,,,,,,,,,
,,,190,,,,,,"Boris Kossoy","Coleção do artista","Um olhar sobre o Brasil - A fotografia na construção da imagem e de nação (1833-2003)",2012,,"Livro",,,,,,,,,,,,,,,,,,,,,
,,,191,,,,,,"Maria Beatriz Coelho","Coleção do artista","Imagens da nação",2012,,"Livro",,,,,,,,,,,,,,,,,,,,,
,,,192,,,,,"https://lh3.googleusercontent.com/8BX3qSCLiRXAHqBjXf4i0uKQ4C_p4J2kmjqgmtMczs_hr8KqA8NEQac0YTPUpTsKzxdkUqcbcS54GCY0bMlKpbue8rLhDzfPMChYFrLt6f4iioF_Py4jENOp-yQGNmdu5YsbKLbs6-cAF9d1Cidhh4liPZfSh3ErXfmSRL31Cgr89-nzs3U-e-veeu76bwy1M-z3pxvkbqtMp-hF7QsI-wrVST2hHZyE5AgPcBlP7YIoEJJ4PhTROZxvj5yUv7sm-VW3GGXL8cipXGyIz43fl8l1G9wzzQjPmHVSTeKEpnQuhEL6leVMmjci8DqkOjaFCL2_saUKx6GMXw8YOrtKKg1lJzcOli4ZYBkyAnth4CyP91qVhkLBEhhEjBVqQcRwbykwMDfZBn0_0VJXtTLgkmRLTb2gEW0jXPcuPf6stW8a2VMfEPmRDzJML60DzNjkWRpGuEdQTMq6EcdAwA73zr6dHsAZ3uV7CQs7KoR8vLbmwqDCZuM4U5n00H3DAZtvZ7M0vFMpR1Ckt3mr8bnElLIyt4x8ekddd6y9EYGbybGd=w247-h204-no"")","Graciliano Ramos","Coleção do artista","Vidas Secas - 70 anos",2008,,"Livro",,300,,,,,"Em exposição",,,,,,,,,,,,,,
,,,193,,,,,,"Erika Billeter","Coleção do artista","Canto a la realidad: fotografia latino-americana - 1860-1993",1993,,"Livro",,,,,,,,,,,,,,,,,,,,,
,,,194,,,,,"https://lh3.googleusercontent.com/TseyqPJntlFjvKe8zeu3Fw9uHYWLY9iYzaa4vFqoMw9cc-hqFRmXn1oMOT23_kFxk9K-1F2dXHsHuI19Q-3K8sIaKHi4JVDQW75ns0fFbiqh-o4BH0Ld5FG-hN84dvmzIyxcy1Xwc-qGYJLStphF6jY1xYwSOOpPzHVslSqDZJ3oaeI9SawXWWZcGoE4uEZOHBsMlRTLWHPcwjLeLOBei6cjtaX6gXke2CpE_02ZK7Me__IKGX_J56VHTp-Pedce8dmHAQ5qS_NnOAXsBxr1S9CGbnxfqrKeMcuVSf9-H9yd0Fe4kIefiDAt_dCkL23rwq_GyWoIiRyWW6-3KGBqU_1FJq0oHi92LljkdosTWe3hiGHO_poUfNUbreccN0w90v-7X58-kd0QtrhPNVhDOlOQ1gJ0NJfgx5cCDCOQ4DISOPZOg3VekjFv_nbkRdpSt8Meig2gkU6IpgM6cw6enBrinw-CKzGzkGbWwhd-eccXRwW0sv6KNehlAPoYxoR_0ablX3KuYQ_2vbWpfaU1EodFZtgOPKlN2f6nT0F-VpSJ=w360-h500-no","Evandro Teixeira","Coleção do artista","1968 Destinos 2008 - Passeata dos Cem Mil",2008,,"Livro",,300,,,,,"Em exposição",,,,,,,,,,,,,,
,,,195,,,,,"https://lh3.googleusercontent.com/LSlPpKoLp75pWIjOsD84V2LNwNWD5XUvDQMwxBcBHLW_IqqLRNtq5m3Y5n_2HrdkD537SIQORuyM_VfU-tegTD0ezBYR-fbujv_nMVVxVQa18IQCBTapup8pJlC_9w_NW3-2bCNLtgiEF98na7N98ffAx4KafGUAqM8hxg_3NVNHCBf07zf5TuCz5pB6Cxj-HouQxZzAZJBvfiRIhECIJwTVYog9U4tlWcarMCTMoi1coYv8o0qkiLCLze0EkwZhlaXgXdpsAATve6bo56zpII-lxkLJoz04QMr9Dkz15H1NQAxWP10OTQCkuTlrVsy54ITkRk7flMRqxbnSZnbqJkegT6qznKcvyWTJhXvyz2xU8L0J0aZ2CPdKwVcWmLiCdC1jlLKfbwZXVh2TiAnAGdwag7eh1ryo3ydrQsrnjr1LopFCJdamtEWle3DazHEQU9mkhdJM1TFT54NXnU1KQiJhIaQ1V5v4_p2Ho6TcG6GDN7nmcSI9G33K3roD4xu7p1jPAOYJYT1kVNsCMB05bWbFR1nSPuFJJYo-i60k0tJl=w191-h264-no"")","Adir Botelho","Coleção MAR","Barbárie e espanto em Canudos: xilogravuras & desenhos - coleção Museu Nacional de belas Artes ",2012,,"Catálogo de exposição",,,"B748b  2012 Coleção Bibliográfica",,,,"Em exposição",,,,,,,,,,,,,,
,,,196,,,,,,"Adir Botelho","Coleção MAR","Adir Botelho: xilogravuras",2012,,"Catálogo de exposição",,,"B748a  2012 Coleção Bibliográfica",,,,,,,,,,,,,,,,,,
